game_id,game_date
21500561,2016-01-10
21500562,2016-01-10
21500563,2016-01-10
21500564,2016-01-10
21500565,2016-01-10
21500566,2016-01-11
21500567,2016-01-11
21500568,2016-01-11
21500569,2016-01-12
21500570,2016-01-12
21500571,2016-01-12
21500572,2016-01-12
21500573,2016-01-12
21500574,2016-01-12
21500575,2016-01-12
21500576,2016-01-12
21500577,2016-01-13
21500578,2016-01-13
21500579,2016-01-13
21500580,2016-01-13
21500581,2016-01-13
21500582,2016-01-13
21500583,2016-01-13
21500584,2016-01-13
21500585,2016-01-13
21500586,2016-01-13
21500587,2016-01-14
21500588,2016-01-14
21500589,2016-01-14
21500590,2016-01-14
21500591,2016-01-14
21500592,2016-01-14
21500593,2016-01-15
21500594,2016-01-15
21500595,2016-01-15
21500596,2016-01-15
21500597,2016-01-15
21500598,2016-01-15
21500599,2016-01-15
21500600,2016-01-15
21500601,2016-01-15
21500602,2016-01-16
21500603,2016-01-16
21500604,2016-01-16
21500605,2016-01-16
21500606,2016-01-16
21500607,2016-01-16
21500608,2016-01-16
21500609,2016-01-16
21500610,2016-01-17
21500611,2016-01-17
21500612,2016-01-17
21500613,2016-01-17
21500614,2016-01-17
21500615,2016-01-18
21500616,2016-01-18
21500617,2016-01-18
21500618,2016-01-18
21500619,2016-01-18
21500620,2016-01-18
21500621,2016-01-18
21500622,2016-01-18
21500623,2016-01-18
21500624,2016-01-18
21500625,2016-01-19
21500626,2016-01-19
21500627,2016-01-19
21500628,2016-01-19
21500629,2016-01-20
21500630,2016-01-20
21500631,2016-01-20
21500632,2016-01-20
21500633,2016-01-20
21500634,2016-01-20
21500635,2016-01-20
21500636,2016-01-20
21500637,2016-01-20
21500638,2016-01-20
21500639,2016-01-20
21500640,2016-01-21
21500641,2016-01-21
21500642,2016-01-21
21500643,2016-01-21
21500644,2016-01-21
21500645,2016-01-22
21500646,2016-01-22
21500647,2016-01-22
21500648,2016-01-22
21500649,2016-01-22
21500650,2016-01-22
21500651,2016-01-22
21500652,2016-01-22
21500653,2016-01-22
21500654,2016-02-18
21500655,2016-01-23
21500656,2016-01-24
21500657,2016-01-23
21500658,2016-01-23
21500659,2016-01-23
21500660,2016-01-23
21500661,2016-01-23
21500662,2016-01-23
21500663,2016-01-23
21500664,2016-01-24
21500665,2016-01-24
21500666,2016-01-24
21500667,2016-01-25
21500668,2016-01-25
21500669,2016-01-25
21500670,2016-01-25
21500671,2016-01-25
21500672,2016-01-25
21500673,2016-01-25
21500674,2016-01-25
21500675,2016-01-25
21500676,2016-01-26
21500677,2016-01-26
21500678,2016-01-26
21500679,2016-01-26
21500680,2016-01-26
21500681,2016-01-26
21500682,2016-01-26
21500683,2016-01-26
21500684,2016-01-27
21500685,2016-01-27
21500686,2016-01-27
21500687,2016-01-27
21500688,2016-01-27
21500689,2016-01-27
21500690,2016-01-27
21500691,2016-01-27
21500692,2016-01-28
21500693,2016-01-28
21500694,2016-01-28
21500695,2016-01-28
21500696,2016-01-28
21500697,2016-01-28
21500698,2016-01-29
21500699,2016-01-29
21500700,2016-01-29
21500701,2016-01-29
21500702,2016-01-29
21500703,2016-01-29
21500704,2016-01-29
21500705,2016-01-29
21500706,2016-01-29
21500707,2016-01-30
21500708,2016-01-30
21500709,2016-01-30
21500710,2016-01-30
21500711,2016-01-30
21500712,2016-01-30
21500713,2016-01-30
21500714,2016-01-31
21500715,2016-01-31
21500716,2016-01-31
21500717,2016-01-31
21500718,2016-01-31
21500719,2016-01-31
21500720,2016-01-31
21500721,2016-02-01
21500722,2016-02-01
21500723,2016-02-01
21500724,2016-02-01
21500725,2016-02-01
21500726,2016-02-01
21500727,2016-02-01
21500728,2016-02-01
21500729,2016-02-01
21500730,2016-02-02
21500731,2016-02-02
21500732,2016-02-02
21500733,2016-02-02
21500734,2016-02-02
21500735,2016-02-03
21500736,2016-02-03
21500737,2016-02-03
21500738,2016-02-03
21500739,2016-02-03
21500740,2016-02-03
21500741,2016-02-03
21500742,2016-02-03
21500743,2016-02-03
21500744,2016-02-03
21500745,2016-02-03
21500746,2016-02-04
21500747,2016-02-04
21500748,2016-02-04
21500749,2016-02-04
21500750,2016-02-05
21500751,2016-02-05
21500752,2016-02-05
21500753,2016-02-05
21500754,2016-02-05
21500755,2016-02-05
21500756,2016-02-05
21500757,2016-02-05
21500758,2016-02-05
21500759,2016-02-05
21500760,2016-02-06
21500761,2016-02-06
21500762,2016-02-06
21500763,2016-02-06
21500764,2016-02-06
21500765,2016-02-06
21500766,2016-02-06
21500767,2016-02-06
21500768,2016-02-06
21500769,2016-02-06
21500770,2016-02-07
21500771,2016-02-07
21500772,2016-02-07
21500773,2016-02-07
21500774,2016-02-08
21500775,2016-02-08
21500776,2016-02-08
21500777,2016-02-08
21500778,2016-02-08
21500779,2016-02-08
21500780,2016-02-08
21500781,2016-02-08
21500782,2016-02-08
21500783,2016-02-08
21500784,2016-02-09
21500785,2016-02-09
21500786,2016-02-09
21500787,2016-02-09
21500788,2016-02-09
21500789,2016-02-10
21500790,2016-02-10
21500791,2016-02-10
21500792,2016-02-10
21500793,2016-02-10
21500794,2016-02-10
21500795,2016-02-10
21500796,2016-02-10
21500797,2016-02-10
21500798,2016-02-10
21500799,2016-02-10
21500800,2016-02-10
21500801,2016-02-11
21500802,2016-02-11
21500803,2016-02-18
21500804,2016-02-18
21500805,2016-02-19
21500806,2016-02-19
21500807,2016-02-19
21500808,2016-02-19
21500809,2016-02-19
21500810,2016-02-19
21500811,2016-02-19
21500812,2016-02-19
21500813,2016-02-19
21500814,2016-02-19
21500815,2016-02-19
21500816,2016-02-19
21500817,2016-02-19
21500818,2016-02-19
21500819,2016-02-20
21500820,2016-02-20
21500821,2016-02-20
21500822,2016-02-20
21500823,2016-02-21
21500824,2016-02-21
21500825,2016-02-21
21500826,2016-02-21
21500827,2016-02-21
21500828,2016-02-21
21500829,2016-02-21
21500830,2016-02-21
21500831,2016-02-21
21500832,2016-02-21
21500833,2016-02-22
21500834,2016-02-22
21500835,2016-02-22
21500836,2016-02-22
21500837,2016-02-22
21500838,2016-02-22
21500839,2016-02-22
21500840,2016-02-23
21500841,2016-02-23
21500842,2016-02-23
21500843,2016-02-23
21500844,2016-02-23
21500845,2016-02-24
21500846,2016-02-24
21500847,2016-02-24
21500848,2016-02-24
21500849,2016-02-24
21500850,2016-02-24
21500851,2016-02-24
21500852,2016-02-24
21500853,2016-02-24
21500854,2016-02-24
21500855,2016-02-25
21500856,2016-02-25
21500857,2016-02-25
21500858,2016-02-25
21500859,2016-02-25
21500860,2016-02-25
21500861,2016-02-26
21500862,2016-02-26
21500863,2016-02-26
21500864,2016-02-26
21500865,2016-02-26
21500866,2016-02-26
21500867,2016-02-26
21500868,2016-02-26
21500869,2016-02-27
21500870,2016-02-27
21500871,2016-02-27
21500872,2016-02-27
21500873,2016-02-27
21500874,2016-02-27
21500875,2016-02-27
21500876,2016-02-27
21500877,2016-02-28
21500878,2016-02-28
21500879,2016-02-28
21500880,2016-02-28
21500881,2016-02-28
21500882,2016-02-28
21500883,2016-02-28
21500884,2016-02-29
21500885,2016-02-29
21500886,2016-02-29
21500887,2016-02-29
21500888,2016-02-29
21500889,2016-02-29
21500890,2016-02-29
21500891,2016-03-01
21500892,2016-03-01
21500893,2016-03-01
21500894,2016-03-01
21500895,2016-03-01
21500896,2016-03-01
21500897,2016-03-02
21500898,2016-03-02
21500899,2016-03-02
21500900,2016-03-02
21500901,2016-03-02
21500902,2016-03-02
21500903,2016-03-02
21500904,2016-03-02
21500905,2016-03-02
21500906,2016-03-02
21500907,2016-03-02
21500908,2016-03-03
21500909,2016-03-03
21500910,2016-03-03
21500911,2016-03-03
21500912,2016-03-04
21500913,2016-03-04
21500914,2016-03-04
21500915,2016-03-04
21500916,2016-03-04
21500917,2016-03-04
21500918,2016-03-04
21500919,2016-03-04
21500920,2016-03-04
21500921,2016-03-04
21500922,2016-03-05
21500923,2016-03-05
21500924,2016-03-05
21500925,2016-03-05
21500926,2016-03-05
21500927,2016-03-05
21500928,2016-03-05
21500929,2016-03-05
21500930,2016-03-06
21500931,2016-03-06
21500932,2016-03-06
21500933,2016-03-06
21500934,2016-03-06
21500935,2016-03-06
21500936,2016-03-06
21500937,2016-03-07
21500938,2016-03-07
21500939,2016-03-07
21500940,2016-03-07
21500941,2016-03-07
21500942,2016-03-07
21500943,2016-03-07
21500944,2016-03-08
21500945,2016-03-08
21500946,2016-03-08
21500947,2016-03-08
21500948,2016-03-08
21500949,2016-03-08
21500950,2016-03-09
21500951,2016-03-09
21500952,2016-03-09
21500953,2016-03-09
21500954,2016-03-09
21500955,2016-03-09
21500956,2016-03-09
21500957,2016-03-09
21500958,2016-03-09
21500959,2016-03-10
21500960,2016-03-10
21500961,2016-03-10
21500962,2016-03-10
21500963,2016-03-11
21500964,2016-03-11
21500965,2016-03-11
21500966,2016-03-11
21500967,2016-03-11
21500968,2016-03-11
21500969,2016-03-11
21500970,2016-03-11
21500971,2016-03-11
21500972,2016-03-11
21500973,2016-03-12
21500974,2016-03-12
21500975,2016-03-12
21500976,2016-03-12
21500977,2016-03-12
21500978,2016-03-12
21500979,2016-03-12
21500980,2016-03-12
21500981,2016-03-12
21500982,2016-03-12
21500983,2016-03-13
21500984,2016-03-13
21500985,2016-03-13
21500986,2016-03-13
21500987,2016-03-13
21500988,2016-03-14
21500989,2016-03-14
21500990,2016-03-14
21500991,2016-03-14
21500992,2016-03-14
21500993,2016-03-14
21500994,2016-03-14
21500995,2016-03-14
21500996,2016-03-14
21500997,2016-03-15
21500998,2016-03-15
21500999,2016-03-15
21501000,2016-03-15
21501001,2016-03-15
21501002,2016-03-15
21501003,2016-03-16
21501004,2016-03-16
21501005,2016-03-16
21501006,2016-03-16
21501007,2016-03-16
21501008,2016-03-16
21501009,2016-03-16
21501010,2016-03-16
21501011,2016-03-16
21501012,2016-03-17
21501013,2016-03-17
21501014,2016-03-17
21501015,2016-03-17
21501016,2016-03-17
21501017,2016-03-17
21501018,2016-03-17
21501019,2016-03-17
21501020,2016-03-18
21501021,2016-03-18
21501022,2016-03-18
21501023,2016-03-18
21501024,2016-03-18
21501025,2016-03-18
21501026,2016-03-18
21501027,2016-03-18
21501028,2016-03-19
21501029,2016-03-19
21501030,2016-03-19
21501031,2016-03-19
21501032,2016-03-19
21501033,2016-03-19
21501034,2016-03-19
21501035,2016-03-19
21501036,2016-03-19
21501037,2016-03-20
21501038,2016-03-20
21501039,2016-03-20
21501040,2016-03-20
21501041,2016-03-20
21501042,2016-03-20
21501043,2016-03-21
21501044,2016-03-21
21501045,2016-03-21
21501046,2016-03-21
21501047,2016-03-21
21501048,2016-03-21
21501049,2016-03-21
21501050,2016-03-21
21501051,2016-03-21
21501052,2016-03-22
21501053,2016-03-22
21501054,2016-03-22
21501055,2016-03-22
21501056,2016-03-23
21501057,2016-03-23
21501058,2016-03-23
21501059,2016-03-23
21501060,2016-03-23
21501061,2016-03-23
21501062,2016-03-23
21501063,2016-03-23
21501064,2016-03-23
21501065,2016-03-23
21501066,2016-03-23
21501067,2016-03-23
21501068,2016-03-24
21501069,2016-03-24
21501070,2016-03-24
21501071,2016-03-24
21501072,2016-03-24
21501073,2016-03-25
21501074,2016-03-25
21501075,2016-03-25
21501076,2016-03-25
21501077,2016-03-25
21501078,2016-03-25
21501079,2016-03-25
21501080,2016-03-25
21501081,2016-03-25
21501082,2016-03-26
21501083,2016-03-26
21501084,2016-03-26
21501085,2016-03-26
21501086,2016-03-26
21501087,2016-03-26
21501088,2016-03-26
21501089,2016-03-26
21501090,2016-03-26
21501091,2016-03-26
21501092,2016-03-27
21501093,2016-03-27
21501094,2016-03-27
21501095,2016-03-27
21501096,2016-03-27
21501097,2016-03-28
21501098,2016-03-28
21501099,2016-03-28
21501100,2016-03-28
21501101,2016-03-28
21501102,2016-03-28
21501103,2016-03-28
21501104,2016-03-28
21501105,2016-03-28
21501106,2016-03-28
21501107,2016-03-29
21501108,2016-03-29
21501109,2016-03-29
21501110,2016-03-29
21501111,2016-03-29
21501112,2016-03-29
21501113,2016-03-30
21501114,2016-03-30
21501115,2016-03-30
21501116,2016-03-30
21501117,2016-03-30
21501118,2016-03-30
21501119,2016-03-30
21501120,2016-03-30
21501121,2016-03-30
21501122,2016-03-31
21501123,2016-03-31
21501124,2016-03-31
21501125,2016-03-31
21501126,2016-03-31
21501127,2016-03-31
21501128,2016-04-01
21501129,2016-04-01
21501130,2016-04-01
21501131,2016-04-01
21501132,2016-04-01
21501133,2016-04-01
21501134,2016-04-01
21501135,2016-04-01
21501136,2016-04-01
21501137,2016-04-01
21501138,2016-04-02
21501139,2016-04-02
21501140,2016-04-02
21501141,2016-04-02
21501142,2016-04-02
21501143,2016-04-03
21501144,2016-04-03
21501145,2016-04-03
21501146,2016-04-03
21501147,2016-04-03
21501148,2016-04-03
21501149,2016-04-03
21501150,2016-04-03
21501151,2016-04-03
21501152,2016-04-03
21501153,2016-04-03
21501154,2016-04-05
21501155,2016-04-05
21501156,2016-04-05
21501157,2016-04-05
21501158,2016-04-05
