id,full_name,avg_speed_per_game,avg_distance_per_game
203893,Russ Smith,2.13,0.16
203894,Shabazz Napier,3.33,0.6
203895,Jordan McRae,2.54,0.4
203897,Zach LaVine,4.39,2.03
203898,Tyler Ennis,2.85,0.67
203900,Markel Brown,3.2,0.85
203901,Elfrid Payton,4.03,1.98
203903,Jordan Clarkson,4.4,2.37
203906,Devyn Marble,2.48,0.37
203909,KJ McDaniels,2.24,0.26
203912,C.J. Wilcox,2.49,0.3
203914,Gary Harris,4.1,2.18
203915,Spencer Dinwiddie,1.22,0.27
203917,Nik Stauskas,4.1,1.69
203918,Rodney Hood,4.09,2.18
203919,Jordan Adams,0.53,0.06
203921,Cleanthony Early,3.51,0.52
203922,Glenn Robinson III,2.53,0.49
203923,James Young,1.9,0.23
203924,Jerami Grant,4.17,1.86
203925,Joe Harris,1.39,0.07
203926,Doug McDermott,4.48,1.7
203928,Cory Jefferson,1.12,0.15
203930,Sean Kilpatrick,4.14,1.29
203932,Aaron Gordon,4.47,1.78
203933,T.J. Warren,4.25,1.62
203934,Lamar Patterson,3.1,0.59
203935,Marcus Smart,4.18,1.9
203937,Kyle Anderson,4.1,1.08
203939,Dwight Powell,3.73,0.91
203940,Adreian Payne,2.85,0.45
203943,Noah Vonleh,4.31,1.08
203944,Julius Randle,4.04,1.89
203946,Cameron Bairstow,1.13,0.11
203948,Johnny O'Bryant III,3.48,0.76
203949,James Michael McAdoo,3.18,0.34
203950,Jarnell Stokes,1.55,0.07
203951,Keith Appling,2.05,0.19
203952,Andrew Wiggins,4.02,2.34
203953,Jabari Parker,4.36,2.29
203955,Bryce Cotton,2.16,0.2
203956,Mitch McGary,1.85,0.12
203960,JaKarr Sampson,4.12,1.08
203961,Eric Moreland,1.22,0.13
203962,Josh Huestis,2.05,0.37
203963,Shayne Whittington,2.3,0.22
203991,Clint Capela,4.14,1.31
203994,Jusuf Nurkić,2.64,0.74
203996,Damien Inglis,1.64,0.21
203998,Bruno Caboclo,1.14,0.13
203999,Nikola Jokić,4.1,1.47
204001,Kristaps Porziņģis,3.62,1.7
204002,Edy Tavares,1.61,0.18
204014,Damjan Rudez,1.92,0.28
204020,Tyler Johnson,3.08,1.24
204025,Tim Frazier,3.21,0.77
204028,Tarik Black,2.65,0.56
204038,Langston Galloway,4.38,1.81
204060,Joe Ingles,4.16,1.05
204067,Jarell Eddie,2.39,0.24
204098,Xavier Munford,4.3,1.24
204456,T.J. McConnell,4.84,1.58
1626143,Jahlil Okafor,3.59,1.78
1626144,Emmanuel Mudiay,4.14,2.09
1626145,Tyus Jones,3.02,0.78
1626146,Cliff Alexander,1.77,0.13
1626147,Justin Anderson,3.38,0.65
1626148,Anthony Brown,2.97,1.02
1626149,Montrezl Harrell,2.65,0.43
1626151,Aaron Harrison,1.77,0.13
1626153,Delon Wright,1.68,0.24
1626154,RJ Hunter,2.21,0.34
1626155,Sam Dekker,0.58,0.02
1626156,D'Angelo Russell,4.33,2.03
1626157,Karl-Anthony Towns,4.05,2.16
1626158,Richaun Holmes,2.73,0.63
1626159,Justise Winslow,4.18,1.99
1626161,Willie Cauley-Stein,4.26,1.51
1626162,Kelly Oubre Jr.,3.35,0.61
1626163,Frank Kaminsky,4.44,1.55
1626164,Devin Booker,4.02,1.85
1626166,Cameron Payne,3.25,0.66
1626167,Myles Turner,3.15,1.19
1626168,Trey Lyles,4.21,1.19
1626169,Stanley Johnson,4.1,1.57
1626170,Jerian Grant,4.1,1.12
1626171,Bobby Portis,3.33,0.98
1626172,Kevon Looney,1.52,0.11
1626173,Rashad Vaughn,3.94,0.93
1626174,Christian Wood,2.18,0.3
1626175,Jordan Mickey,2.18,0.13
1626176,Rakeem Christmas,0.95,0.1
1626178,Rondae Hollis-Jefferson,4.2,1.5
1626179,Terry Rozier,2.79,0.37
1626181,Norman Powell,2.88,0.72
1626183,Branden Dawson,1.73,0.14
1626185,Jarell Martin,3.29,0.77
1626191,Chris McCullough,3.52,0.88
1626192,Pat Connaughton,1.73,0.13
1626196,Josh Richardson,3.09,1.12
1626199,Darrun Hilliard,1.96,0.34
1626202,Joe Young,2.29,0.36
1626204,Larry Nance Jr.,4.24,1.41
1626209,Mario Hezonja,4.35,1.3
1626210,Alan Williams,2.28,0.25
1626214,Bryce Dejean-Jones,2.94,1.01
1626242,Luis Montero,1.95,0.12
1626245,Cristiano Felicio,2.17,0.38
1626246,Boban Marjanovic,3.26,0.5
1626251,Duje Dukan,0.47,0.19
1626253,Axel Toupane,4.43,1.06
1626257,Salah Mejri,2.67,0.53
1626262,Coty Clarke,2.58,0.08
1626266,JJ O'Brien,1.58,0.08
1626273,Marcelo Huertas,2.88,0.78
1627293,Alex Stepheson,2.07,0.32
1627362,Briante Weber,3.5,1.41
